Day;Temperature[C];Precipitation;Wind
1;32;17.7;5.4
2;-11;13.1;1.0
3;10;17.4;2.2
4;-12;23.9;0.3
5;4;17.1;7.9
6;8;1.3;10.5
7;24;7.7;6.4
8;13;14.8;2.0
9;-1;5.9;5.0
10;8;24.1;8.9
11;-7;23.6;14.1
12;10;21.2;14.9
13;31;11.8;3.6
14;27;21.0;0.2
15;11;3.3;12.5
16;-7;7.7;13.9
17;24;11.6;6.9
18;23;18.5;11.6
19;-11;12.1;13.0
20;33;3.4;9.1
21;-8;8.6;13.1
22;29;8.1;0.4
23;-15;7.5;4.1
24;-4;4.1;4.2
25;-9;10.4;1.8
26;4;11.2;13.7
27;29;19.4;0.5
28;-10;19.9;10.1
29;9;13.1;1.1
30;33;11.5;5.4
31;-15;19.5;6.3
32;19;22.2;2.7
33;-6;16.9;7.8
34;-1;20.0;8.0
35;23;23.5;4.8
36;-11;1.0;11.1
37;31;21.9;2.4
38;-6;6.9;2.9
39;8;11.9;5.3
40;20;19.9;5.7
41;-12;17.9;3.1
42;-7;3.7;13.8
43;4;16.5;12.4
44;33;1.7;1.6
45;-14;8.9;5.5
46;-15;20.3;3.5
47;1;10.7;6.8
48;16;15.0;4.1
49;14;18.2;7.5
50;29;20.5;13.8
51;13;19.0;5.7
52;-8;0.2;9.8
53;8;10.5;8.9
54;-5;11.6;11.3
55;26;1.4;0.9
56;20;13.5;11.2
57;-15;15.2;14.2
58;-8;20.7;9.1
59;8;23.5;4.3
60;13;3.2;10.1
61;17;5.8;10.7
62;6;16.5;9.8
63;21;3.3;2.2
64;20;5.6;14.6
65;18;14.4;14.3
66;-12;4.2;6.4
67;12;19.6;8.9
68;18;21.4;0.6
69;4;0.8;14.8
70;12;13.3;12.3
71;-11;19.9;9.5
72;4;24.4;11.4
73;18;6.9;2.8
74;15;4.2;4.6
75;22;21.9;3.7
76;-6;22.7;8.9
77;14;4.9;1.4
78;2;11.0;13.4
79;16;18.0;6.9
80;-13;21.1;6.7
81;4;4.2;1.6
82;3;16.6;10.3
83;6;20.2;12.3
84;-12;13.7;9.4
85;-4;4.1;3.6
86;32;0.9;11.8
87;1;7.0;2.2
88;-3;20.2;12.4
89;14;1.1;8.7
90;28;0.2;4.3
